views,content,area,content_tokens
2,"Rs 40,000/- Rs 33,000/- Shridhi Vlog ",2,"['rs', '40,000/-', 'rs', '33,000/-', 'shridhi', 'vlog']"
0,3 ,2,['3']
2,vlog EL REGALO PERFECTO ,3,"['vlog', 'el', 'regalo', 'perfecto']"
0,Weekend Vlog Korean version ,3,"['weekend', 'vlog', 'korean', 'version']"
4,202 MORNING ,3,"['202', 'morn']"
0,Mashoor Tareen Biryani VLOG # 02 ,2,"['mashoor', 'tareen', 'biryani', 'vlog', '#', '02']"
0,VLOC GEOGRAFIA t ,3,"['vloc', 'geografia', 't']"
0,1st MUKBANG 2021 Cheese Nail Rapasta ,3,"['1st', 'mukbang', '2021', 'chees', 'nail', 'rapasta']"
2,mejiwoo marriage ,3,"['mejiwoo', 'marriag']"
1,[Aneview EA5: Winter is coming ,2,"['[', 'aneview', 'ea5', ':', 'winter', 'is', 'come']"
3,DREAM CAR KO! ,3,"['dream', 'car', 'ko', '!']"
4,  ,0,[]
1,  ,0,[]
0,Baumstumpf Vlog #001 ,4,"['baumstumpf', 'vlog', '#', '001']"
0,"MS BULAKENYA VLOG THANKS JANUARY GIVING 0 BINGO 31, 2021 GAMES SAM PINAS TIME 10 WINNERS 200 WITH GUEST SINGERS 6 WINNERS 500 it SPONSOR: ",4,"['ms', 'bulakenya', 'vlog', 'thank', 'januari', 'give', '0', 'bingo', '31', ',', '2021', 'game', 'sam', 'pina', 'time', '10', 'winner', '200', 'with', 'guest', 'singer', '6', 'winner', '500', 'it', 'sponsor', ':']"
0,TAIWAN: 3 SUSHI CHAINS IN 1 DAY ,2,"['taiwan', ':', '3', 'sushi', 'chain', 'in', '1', 'day']"
1,Dalat 2021 ,2,"['dalat', '2021']"
0,Study Vlog ,2,"['studi', 'vlog']"
1,rassolog ,2,['rassolog']
2,Ha ha ha ,2,"['ha', 'ha', 'ha']"
0,  ,0,[]
0,vlog ,2,['vlog']
1,Hampi travel vlog Museum 1. Kaladham kaladham ,3,"['hampi', 'travel', 'vlog', 'museum', '1', '.', 'kaladham', 'kaladham']"
0,Reviewing Tennis Equipment ,2,"['review', 'tenni', 'equip']"
0,Korea University E ,3,"['korea', 'univers', 'e']"
3,Morning Skin Care ,2,"['morn', 'skin', 'care']"
0,"phan 2 tet nam 2021 cua toil mung1, mung2, 3 mung ",2,"['phan', '2', 'tet', 'nam', '2021', 'cua', 'toil', 'mung1', ',', 'mung2', ',', '3', 'mung']"
0,  ,0,[]
1,4K UHD WEARE INDIA AMBIENCE ,2,"['4k', 'uhd', 'wear', 'india', 'ambienc']"
0,family Love ,2,"['famili', 'love']"
4,LAYAS!!! GALA PA MORE!!! NAMUMURO KA NAIII ,2,"['laya', '!', '!', '!', 'gala', 'pa', 'more', '!', '!', '!', 'namumuro', 'ka', 'naiii']"
2,ALEX GONZAGA Funny WEDDING MOMENTS ,3,"['alex', 'gonzaga', 'funni', 'wed', 'moment']"
4,FROM EK TO HK??? SOBRANG LAUGHTRIPH! WHISPER CHALLENGE 2.0 ,3,"['from', 'ek', 'to', 'hk', '?', '?', '?', 'sobrang', 'laughtriph', '!', 'whisper', 'challeng', '2.0']"
1,HAVELI 000 ,2,"['have', '000']"
1,ptaca nam za stowo??? ,2,"['ptaca', 'nam', 'za', 'stowo', '?', '?', '?']"
4,COFFEE Starbucks Music ,3,"['coffe', 'starbuck', 'music']"
3,day in NYC ,3,"['day', 'in', 'nyc']"
4,college time. let's go. ,2,"['colleg', 'time', '.', 'let', ""'s"", 'go', '.']"
4,  ,0,[]
4,FALL 2020 FINALS ,2,"['fall', '2020', 'final']"
4,  ,0,[]
3,weekly vlog PAINT ,3,"['weekli', 'vlog', 'paint']"
4,  ,0,[]
4,vlog ,1,['vlog']
4,vlog ,1,['vlog']
4,BIRTH VLOG ,3,"['birth', 'vlog']"
4,intense ! extremely LABOR + DELIVERY ,4,"['intens', '!', 'extrem', 'labor', '+', 'deliveri']"
4,new Cafe vlog ZOE ,2,"['new', 'cafe', 'vlog', 'zoe']"
4,JYP OFFICIAL ,2,"['jyp', 'offici']"
3,A WEEK IN LONDON a nlog ,4,"['a', 'week', 'in', 'london', 'a', 'nlog']"
3,fall decor pumpkin drinks the ultimate fall lvlog fallcookies black nails ,3,"['fall', 'decor', 'pumpkin', 'drink', 'the', 'ultim', 'fall', 'lvlog', 'fallcooki', 'black', 'nail']"
3,A Cozy Autumn Day in my Cottage ,3,"['a', 'cozi', 'autumn', 'day', 'in', 'my', 'cottag']"
5,  ,0,[]
3,KOREA SHOPPING VLOG ,2,"['korea', 'shop', 'vlog']"
3,"VLOG FACIAL, LASER HAIR REMOVAL + CENTRAL PARK! ",3,"['vlog', 'facial', ',', 'laser', 'hair', 'remov', '+', 'central', 'park', '!']"
3,boo baskets halloween vlog pumpkins ,3,"['boo', 'basket', 'halloween', 'vlog', 'pumpkin']"
3,Exam Vlog ,2,"['exam', 'vlog']"
4,  ,0,[]
3,VLOG ,2,['vlog']
3,first day of online classes! us ,3,"['first', 'day', 'of', 'onlin', 'class', '!', 'us']"
3,  ,0,[]
3,ATEEZ OFFICIAL ,2,"['ateez', 'offici']"
3,diet vlog 501506 -3kg ,2,"['diet', 'vlog', '501506', '-3kg']"
4,DIWALI IN 2020 ,3,"['diwali', 'in', '2020']"
3,flower shop ,2,"['flower', 'shop']"
3,moving in ,2,"['move', 'in']"
3,VIOG #14 LOUD HOUSE ,2,"['viog', '#', '14', 'loud', 'hous']"
3,THEY'AREALL SIGN! ,4,"[""they'areal"", 'sign', '!']"
3,"""Four Seasons nebom vlog ",2,"['``', 'four', 'season', 'nebom', 'vlog']"
3,Jentle of ,2,"['jentl', 'of']"
4,RECIRES You FOUND IT? I ,2,"['recir', 'you', 'found', 'it', '?', 'i']"
4,O ? ,2,"['o', '?']"
4,HALLOWEEN 2020 ,2,"['halloween', '2020']"
5,W SHAWN'S 5 TH B-DAY ,3,"['w', 'shawn', ""'s"", '5', 'th', 'b-day']"
4,Barbie ,3,['barbi']
3,Fans IMITANDO mis folos ,4,"['fan', 'imitando', 'mi', 'folo']"
3,RANTINED in South Harea ,2,"['rantin', 'in', 'south', 'harea']"
3,13:11 un did en L vida de and estudiante universitaria ,3,"['13:11', 'un', 'did', 'en', 'l', 'vida', 'de', 'and', 'estudiant', 'universitaria']"
3,THE TRUTH ,3,"['the', 'truth']"
4,Ang ngBeki 3 years na! ,4,"['ang', 'ngbeki', '3', 'year', 'na', '!']"
4,  ,0,[]
4,JOJOWAIN O TOTROPAHIN PARENTS EDITION ,3,"['jojowain', 'o', 'totropahin', 'parent', 'edit']"
4,  ,0,[]
3,study vlog ,2,"['studi', 'vlog']"
4,MEET MY WIFE ,3,"['meet', 'my', 'wife']"
4,BECOMING BILLIE EILISH ,2,"['becom', 'billi', 'eilish']"
3,VLOG NO COPYRIGHT ,3,"['vlog', 'no', 'copyright']"
4,  ,0,[]
4,TOUR RUMAH CEMENTARA a HOUSE ,4,"['tour', 'rumah', 'cementara', 'a', 'hous']"
2,day in my life ,3,"['day', 'in', 'my', 'life']"
4,CAUGHT YOU OMG! ,3,"['caught', 'you', 'omg', '!']"
4,NIZILOLOG JYP OFFICIAL ,2,"['nizilolog', 'jyp', 'offici']"
5,Live Birth Vlog ,2,"['live', 'birth', 'vlog']"
2,Bye ,2,['bye']
4,dont laugh ,3,"['dont', 'laugh']"
3,  ,0,[]
4,  ,0,[]
4,ANG CUTE! ,3,"['ang', 'cute', '!']"
3,  ,0,[]
4,  ,0,[]
4,  ,0,[]
4,  ,0,[]
3,7 ,2,['7']
4,VLOG 77 ,2,"['vlog', '77']"
4,  ,0,[]
5,Ngudi Cuoi Cing Ngting An Hai San ,3,"['ngudi', 'cuoi', 'cing', 'ngting', 'an', 'hai', 'san']"
4,I cleaned $ organized our home by myself! ,3,"['i', 'clean', '$', 'organ', 'our', 'home', 'by', 'myself', '!']"
4,VLOG #28 KAMAL HAI.. ,2,"['vlog', '#', '28', 'kamal', 'hai', '..']"
4,  ,0,[]
3,VLOG #31 CRAZY BEAUTIFUL ,2,"['vlog', '#', '31', 'crazi', 'beauti']"
3,OO C ,2,"['oo', 'c']"
4,  ,0,[]
4,TRO to LABUAL BA JO PART 1 ,4,"['tro', 'to', 'labual', 'ba', 'jo', 'part', '1']"
4,  ,0,[]
2,VLOG Vuelta a la universidad ,2,"['vlog', 'vuelta', 'a', 'la', 'universidad']"
2,VLOG Spend ADDay With Me Ln Jobury ,3,"['vlog', 'spend', 'adday', 'with', 'me', 'ln', 'joburi']"
3,What's in my I Guitar Room ,3,"['what', ""'s"", 'in', 'my', 'i', 'guitar', 'room']"
4,Runoresde Google ,4,"['runoresd', 'googl']"
4,AMONG US REAL LIFE Dun ,3,"['among', 'us', 'real', 'life', 'dun']"
3,V OBLY confinement ,2,"['v', 'obli', 'confin']"
3,VLOG PRIMO GIORNO DISCUOLA ,3,"['vlog', 'primo', 'giorno', 'discuola']"
3,um dia na escola pandemia ,3,"['um', 'dia', 'na', 'escola', 'pandemia']"
4,60 MIN Blue's clues &you! ,2,"['60', 'min', 'blue', ""'s"", 'clue', '&', 'you', '!']"
4,AKHIRNYA MAKAN BARENG SEKELUARGA ,3,"['akhirnya', 'makan', 'bareng', 'sekeluarga']"
4,  ,0,[]
4,JYP OFFICIAL ,2,"['jyp', 'offici']"
4,  ,0,[]
4,  ,0,[]
4,PRIVATE CHAT ,3,"['privat', 'chat']"
4,PROGRESS RUMAH BARU ,3,"['progress', 'rumah', 'baru']"
4,BEA DOES MOGGING ,3,"['bea', 'doe', 'mog']"
3,first week of conege A Study viog Study With Ma ,3,"['first', 'week', 'of', 'coneg', 'a', 'studi', 'viog', 'studi', 'with', 'ma']"
4,nutella VIEWS MILLION+ ridge ridge Tour VLOG ,4,"['nutella', 'view', 'million+', 'ridg', 'ridg', 'tour', 'vlog']"
3,"BAGOUMALIS si PAPANG ""Labing Labing FAILED"" ",4,"['bagoumali', 'si', 'papang', '``', 'labe', 'labe', 'fail', ""''""]"
4,Ao B Chong Nuoc ,2,"['ao', 'b', 'chong', 'nuoc']"
4,I Barbie ,3,"['i', 'barbi']"
4,vlog ,1,['vlog']
4,  ,0,[]
4,Happy 1st Anniversary JMOO ME VLOG ,3,"['happi', '1st', 'anniversari', 'jmoo', 'me', 'vlog']"
3,Viog PRODUCTIVE DAY IN my LIFE ,2,"['viog', 'product', 'day', 'in', 'my', 'life']"
4,Med Student's Vlog ,2,"['med', 'student', ""'s"", 'vlog']"
4,WORST GIFT PRANK 13806 AS ,2,"['worst', 'gift', 'prank', '13806', 'as']"
3,Kok kamu gak tahu ini? Kenapa?!! MERTUAL KOREAT Belum pernah.... ,4,"['kok', 'kamu', 'gak', 'tahu', 'ini', '?', 'kenapa', '?', '!', '!', 'mertual', 'koreat', 'belum', 'pernah', '....']"
3,VLOG #27 HOME TOWN ,3,"['vlog', '#', '27', 'home', 'town']"
3,  ,0,[]
4,KINUHA YUNG BUTO KO SA RIBS PARA ILAGAY SA ILONG) KO ,3,"['kinuha', 'yung', 'buto', 'ko', 'sa', 'rib', 'para', 'ilagay', 'sa', 'ilong', ')', 'ko']"
3,stehovaci vlog den 1 ,2,"['stehovaci', 'vlog', 'den', '1']"
2,YLOG NOVEMBER-ISA AT DATE THE MET. TOURS ,3,"['ylog', 'november-isa', 'at', 'date', 'the', 'met', '.', 'tour']"
4,  ,0,[]
3,ORGANIZANDO A CASA COMPRAS DO MES ON ,3,"['organizando', 'a', 'casa', 'compra', 'do', 'me', 'on']"
4,VLOG #26 PARENTS ,2,"['vlog', '#', '26', 'parent']"
4,CREATING DOG HOUSE ,2,"['creat', 'dog', 'hous']"
4,tonitalks ,2,['tonitalk']
5,RICH VS NORMAL ,2,"['rich', 'vs', 'normal']"
4,  ,0,[]
4,DEBUT NO PAPI NIMESALUHD.COM SIYA No ? ? ,3,"['debut', 'no', 'papi', 'nimesaluhd.com', 'siya', 'no', '?', '?']"
4,vlog ,1,['vlog']
4,  ,0,[]
3,MANESKIN IL VLOG ,3,"['maneskin', 'il', 'vlog']"
3,LESKOVAC ROADTRIP ,3,"['leskovac', 'roadtrip']"
4,EAT BULAGA GUESTING BAWALJUDGEMENTAL ,3,"['eat', 'bulaga', 'guest', 'bawaljudgement']"
4,NiziU SUMMER Vlog JYP OFFICIAL ,3,"['niziu', 'summer', 'vlog', 'jyp', 'offici']"
4,  ,0,[]
4,i un dia AngelarAprilant con ,4,"['i', 'un', 'dia', 'angelarapril', 'con']"
3,HUEVADA Mog de mis xv ,2,"['huevada', 'mog', 'de', 'mi', 'xv']"
1,WHAT TO BUY IN A JAPANESE SUPERMARKET! LET'S GO! DON DON DONKI! CDOL 800412 The ,3,"['what', 'to', 'buy', 'in', 'a', 'japanes', 'supermarket', '!', 'let', ""'s"", 'go', '!', 'don', 'don', 'donki', '!', 'cdol', '800412', 'the']"
4,CLOSET TOUR ,2,"['closet', 'tour']"
4,MY FIRST VLOG ,3,"['my', 'first', 'vlog']"
4,17 Mi fiesta de ,3,"['17', 'mi', 'fiesta', 'de']"
4,Nocho CON LOS AGUILAR ,3,"['nocho', 'con', 'lo', 'aguilar']"
2,LASTER! IN EUROPE? ,3,"['laster', '!', 'in', 'europ', '?']"
3,  ,0,[]
2,BURNA BO ,2,"['burna', 'bo']"
3,Reaction ,2,['reaction']
4,  ,0,[]
2,delivery VLOG ,2,"['deliveri', 'vlog']"
4,VLOG 2 DEDEKTIF ,3,"['vlog', '2', 'dedektif']"
2,DamisUna ,3,['damisuna']
4,NHA NTN VLogs ,2,"['nha', 'ntn', 'vlog']"
4,  ,0,[]
2,WHAT PARENTS MUST REALISE ,3,"['what', 'parent', 'must', 'realis']"
4,  ,0,[]
3,a day with my friends ,2,"['a', 'day', 'with', 'my', 'friend']"
2,  ,0,[]
3,(Esplanade) ,2,"['(', 'esplanad', ')']"
4,MY FIRST RODE VLOG ,4,"['my', 'first', 'rode', 'vlog']"
4,TRENDING ON YOUTUBE V1R47 PUNTENN SLUR 135CC LEWAT ,3,"['trend', 'on', 'youtub', 'v1r47', 'puntenn', 'slur', '135cc', 'lewat']"
3,You birth vlog ,2,"['you', 'birth', 'vlog']"
4,SHE CRIED! ,2,"['she', 'cri', '!']"
1,NORWAY TO DO THINGS ,3,"['norway', 'to', 'do', 'thing']"
4,  ,0,[]
2,Elkoltoztem! VLOG ,3,"['elkoltoztem', '!', 'vlog']"
3,  ,0,[]
4,"SILIPIN, LOOB NG ESPERANZA CASA ",3,"['silipin', ',', 'loob', 'ng', 'esperanza', 'casa']"
4,BECOMING JETHALAL ,3,"['becom', 'jethal']"
2,#Viog01 09 Vlog! @Sunglin_0215 ,3,"['#', 'viog01', '09', 'vlog', '!', '@', 'sunglin_0215']"
4,HAFTA ici VLOG ,3,"['hafta', 'ici', 'vlog']"
3,TREVOR BAUER'S COVID SEASON Reds VLOG 24 27 274 ,4,"['trevor', 'bauer', ""'s"", 'covid', 'season', 'red', 'vlog', '24', '27', '274']"
2,SOS MAKEUP CHATS ,2,"['so', 'makeup', 'chat']"
0,PALM DESERT Mall vlog ,3,"['palm', 'desert', 'mall', 'vlog']"
4,  ,0,[]
5,Thip Thach 50 GIO Cam Trai Mua Mura Bao ,3,"['thip', 'thach', '50', 'gio', 'cam', 'trai', 'mua', 'mura', 'bao']"
3,MINHA CIRURGIA ,3,"['minha', 'cirurgia']"
3,  ,0,[]
2,"b sophomore, year FDOC ",3,"['b', 'sophomor', ',', 'year', 'fdoc']"
3,  ,0,[]
2,DAKAR ,2,['dakar']
4,  ,0,[]
3,VLOG #34 ,2,"['vlog', '#', '34']"
3,VLOG #35 35 ,2,"['vlog', '#', '35', '35']"
4,ANG KATAS NG PAGYOUTUBE! ,2,"['ang', 'kata', 'ng', 'pagyoutub', '!']"
3,MOVING IN ,2,"['move', 'in']"
3,MAY BAGONG GISINGI ,3,"['may', 'bagong', 'gisingi']"
2,A DAY IN MY LIFE LO I PROMO are are KIND ,3,"['a', 'day', 'in', 'my', 'life', 'lo', 'i', 'promo', 'are', 'are', 'kind']"
3,9 ANOS E SE ASSUMIU ,2,"['9', 'ano', 'e', 'se', 'assumiu']"
4,Family Tube ,2,"['famili', 'tube']"
2,2020 i s hard. ,2,"['2020', 'i', 's', 'hard', '.']"
2,  ,0,[]
3,II the 9 capblH 1 ,2,"['ii', 'the', '9', 'capblh', '1']"
2,  ,0,[]
4,  ,0,[]
3,karantena #2 UKLID VLOG photeshoot ,3,"['karantena', '#', '2', 'uklid', 'vlog', 'photeshoot']"
4,THE SUEZ CANAL FROM ENTRANCE TO EXIT Seaman Vlog S03E13 ,3,"['the', 'suez', 'canal', 'from', 'entranc', 'to', 'exit', 'seaman', 'vlog', 's03e13']"
4,HHONEOON VLOG ,3,"['hhoneoon', 'vlog']"
4,new house? house tour ,3,"['new', 'hous', '?', 'hous', 'tour']"
3,Letovanje u Hurgadi ,3,"['letovanj', 'u', 'hurgadi']"
4,HOUSE TOUR part 1 ,3,"['hous', 'tour', 'part', '1']"
3,daily vlog _sugardenny_ ,2,"['daili', 'vlog', '_sugardenny_']"
2,L organizing my desk others 1 watching ,2,"['l', 'organ', 'my', 'desk', 'other', '1', 'watch']"
1,  ,0,[]
2,Several All Ins 2/5 No Session Limit ,2,"['sever', 'all', 'in', '2/5', 'no', 'session', 'limit']"
4,Wow ,2,['wow']
4,DUGUN VLOG ,2,"['dugun', 'vlog']"
4,10K Picnic 6 SAO Picnic 10 trieu VS ,3,"['10k', 'picnic', '6', 'sao', 'picnic', '10', 'trieu', 'vs']"
3,  ,0,[]
3,TREVOR BAUER'S COVID SEASON VLOG 25 ,3,"['trevor', 'bauer', ""'s"", 'covid', 'season', 'vlog', '25']"
4,10K Picnic 6 SAO Picnic 10 trieu VS ,3,"['10k', 'picnic', '6', 'sao', 'picnic', '10', 'trieu', 'vs']"
3,  ,0,[]
2,  ,0,[]
3,TREVOR BAUER'S COVID SEASON VLOG 25 ,3,"['trevor', 'bauer', ""'s"", 'covid', 'season', 'vlog', '25']"
4,DIWALI VLOG Steffi Ulagam ,2,"['diwali', 'vlog', 'steffi', 'ulagam']"
3,un did continigo en Clases ,3,"['un', 'did', 'continigo', 'en', 'clase']"
3,LO QUE NO SE VIO ,2,"['lo', 'que', 'no', 'se', 'vio']"
4,  ,0,[]
4,n ANESH RE ,1,"['n', 'anesh', 're']"
2,STUDY VLOG ,2,"['studi', 'vlog']"
2,  ,0,[]
1,WHAT WE'VE BEEN UP TO ,2,"['what', 'we', ""'ve"", 'been', 'up', 'to']"
1,PLACE ENTI STORE DANIE 40% 60% ,3,"['place', 'enti', 'store', 'dani', '40', '%', '60', '%']"
2,Freshman student at university ,2,"['freshman', 'student', 'at', 'univers']"
5,Nguol Cuol Cung Rol Khol HO Bol So Thang ,2,"['nguol', 'cuol', 'cung', 'rol', 'khol', 'ho', 'bol', 'so', 'thang']"
4,  ,0,[]
3,PUMPKin Nintendo Minute PATCH ,2,"['pumpkin', 'nintendo', 'minut', 'patch']"
3,Home TOUR ,3,"['home', 'tour']"
2,wt: 5.48g Wt: 11.83 g Rx: 28. 496/- ,2,"['wt', ':', '5.48g', 'wt', ':', '11.83', 'g', 'rx', ':', '28', '.', '496/-']"
4,"$100,0 no, 000 ",2,"['$', '100,0', 'no', ',', '000']"
0,  ,0,[]
4,  ,0,[]
2,RAW REAL ,3,"['raw', 'real']"
3,VLOG #33 LAND KARA DE ,2,"['vlog', '#', '33', 'land', 'kara', 'de']"
3,VLOG NO COPYRIGHT ,3,"['vlog', 'no', 'copyright']"
3,  ,0,[]
1,  ,0,[]
4,TIANGGE WITH ZEINAB ,3,"['tiangg', 'with', 'zeinab']"
1,A FEW DAYS VLOG ,2,"['a', 'few', 'day', 'vlog']"
2,Hidden Waterfall. In Barpak Village ,2,"['hidden', 'waterfal', '.', 'in', 'barpak', 'villag']"
1,  ,0,[]
3,a TRALER ,2,"['a', 'traler']"
5,Nha Kinh Lanh 16 DO #2 ngay ,2,"['nha', 'kinh', 'lanh', '16', 'do', '#', '2', 'ngay']"
4,tonitalks ,2,['tonitalk']
4,Vong Leu Dau Nga D Cam Tral Tu Theo Dau ,3,"['vong', 'leu', 'dau', 'nga', 'd', 'cam', 'tral', 'tu', 'theo', 'dau']"
1,BLUE GOOSE CANTIN ,3,"['blue', 'goos', 'cantin']"
5,Thuyen. Al Chim Cuol Cung S6 Thang ,3,"['thuyen', '.', 'al', 'chim', 'cuol', 'cung', 's6', 'thang']"
4,MI VERDADERA VOZ ,2,"['mi', 'verdadera', 'voz']"
3,g ,1,['g']
4,Th& Duoi Nuoc ,2,"['th', '&', 'duoi', 'nuoc']"
4,MIALTAR DE ,2,"['mialtar', 'de']"
0,clean with me kitchen cleaning vlog ,3,"['clean', 'with', 'me', 'kitchen', 'clean', 'vlog']"
1,Twins Birthday ,2,"['twin', 'birthday']"
5,NEW HOUSE + SURPRISE ,3,"['new', 'hous', '+', 'surpris']"
0,  ,0,[]
5,Nha Duai Dat @ SAO VS 10k MS 10 trieu ,2,"['nha', 'duai', 'dat', '@', 'sao', 'vs', '10k', 'ms', '10', 'trieu']"
3,  ,0,[]
2,COOKING RICE IN HOT WATER SPRING MANALIVLOGS 02 ,3,"['cook', 'rice', 'in', 'hot', 'water', 'spring', 'manalivlog', '02']"
3,NAPIKON ,3,['napikon']
0,MEET MY BABY BROTHER Subecribe THE BRIANNA Gabrielle Show ,3,"['meet', 'my', 'babi', 'brother', 'subecrib', 'the', 'brianna', 'gabriel', 'show']"
4,VALAK PRANK!!! ,3,"['valak', 'prank', '!', '!', '!']"
0,  ,0,[]
2,Really? ,2,"['realli', '?']"
3,BAYANI VISITS APO VITO!!! SANTIAGO TRAVEL VLOG ZAMBALES ,3,"['bayani', 'visit', 'apo', 'vito', '!', '!', '!', 'santiago', 'travel', 'vlog', 'zambal']"
3,me MUDO A MADRID me independizo con 17 avos ,3,"['me', 'mudo', 'a', 'madrid', 'me', 'independizo', 'con', '17', 'avo']"
2,I Vlog 3 & ,3,"['i', 'vlog', '3', '&']"
4,MUKBANG GONE WRONG! ,3,"['mukbang', 'gone', 'wrong', '!']"
4,7 Vlog ,2,"['7', 'vlog']"
2,VLOG IN SHIBUYA ,3,"['vlog', 'in', 'shibuya']"
0,HAPPY HALL WEEN! HYPED THE BRIANNA SHOW book CABRIELLE COSTOMES ,4,"['happi', 'hall', 'ween', '!', 'hype', 'the', 'brianna', 'show', 'book', 'cabriel', 'costom']"
1,Rainferest Cafe ,2,"['rainferest', 'cafe']"
0,You Tube 1000 Giveaway ,3,"['you', 'tube', '1000', 'giveaway']"
0,vlog My productive Rainy day ,3,"['vlog', 'my', 'product', 'raini', 'day']"
4,SLAAPFEEST iN WOONKAMER ,3,"['slaapfeest', 'in', 'woonkam']"
3,  ,0,[]
2,  ,0,[]
3,COCINANDO EN J CASA ,2,"['cocinando', 'en', 'j', 'casa']"
4,House Tour ,3,"['hous', 'tour']"
1,  ,0,[]
2,(you ok?) The moment I hit ,4,"['(', 'you', 'ok', '?', ')', 'the', 'moment', 'i', 'hit']"
5,CAMBIQ VIDAS DE 10 05:00 ,3,"['cambiq', 'vida', 'de', '10', '05:00']"
4,Wow! ,2,"['wow', '!']"
0,OUR NEW PLACE... YEAH...ITS MESSY... ,3,"['our', 'new', 'place', '...', 'yeah', '...', 'it', 'messi', '...']"
3,RAMBUT ABIDZAR KAYAK WHAT HAPPENED? ,3,"['rambut', 'abidzar', 'kayak', 'what', 'happen', '?']"
0,  ,0,[]
4,  ,0,[]
0,YOSEMITE ADVENTURE WE GOT A BEE ATTACKIO ,3,"['yosemit', 'adventur', 'we', 'got', 'a', 'bee', 'attackio']"
4,00.7 LOI NIE UNTIL DAWN HOUSE TOUR PART1 ,2,"['00.7', 'loi', 'nie', 'until', 'dawn', 'hous', 'tour', 'part1']"
4,  ,0,[]
4,  ,0,[]
1,  ,0,[]
4,PARENTS FOR ADAY ,3,"['parent', 'for', 'aday']"
4,LNOS. INVADEN! ,3,"['lno', '.', 'invaden', '!']"
0,JOLLIBEE Mukbang ,2,"['jollibe', 'mukbang']"
4,GIVEAWAY 24 HOURS ENGLISH CHALLENGE ,3,"['giveaway', '24', 'hour', 'english', 'challeng']"
1,  ,0,[]
2,"8.57 g 13.79 g Rs 44,564/- Rs 71,708/- ",2,"['8.57', 'g', '13.79', 'g', 'rs', '44,564/-', 'rs', '71,708/-']"
1,Kimchl Weekly Vlog ,2,"['kimchl', 'weekli', 'vlog']"
0,MYRRA SALINAS VLOG CHRISTMAS RAFFLE 10 winners of 1000 10 winners of 500 17k 20 winners of 100 10 winners of WH ,4,"['myrra', 'salina', 'vlog', 'christma', 'raffl', '10', 'winner', 'of', '1000', '10', 'winner', 'of', '500', '17k', '20', 'winner', 'of', '100', '10', 'winner', 'of', 'wh']"
1,  ,0,[]
0,  ,0,[]
3,VANDRING En dag med Anna ,3,"['vandr', 'en', 'dag', 'med', 'anna']"
2,DURGA NAVAMI L DUSSEHRA VLOG Diwali shopping Haul from India ,3,"['durga', 'navami', 'l', 'dussehra', 'vlog', 'diwali', 'shop', 'haul', 'from', 'india']"
3,NUNEZ RESIDENCE HOUSE TOUR ,2,"['nunez', 'resid', 'hous', 'tour']"
2,VLID ,2,['vlid']
0,  ,0,[]
3,MEDINA TRAVELING #VLOG ,3,"['medina', 'travel', '#', 'vlog']"
0,CHAM ,2,['cham']
0,  ,0,[]
0,na-MIZI ko * the Tai Po Market Station bumalik. ako VLOG para mag Thumbral Maker NOT ,4,"['na-mizi', 'ko', '*', 'the', 'tai', 'po', 'market', 'station', 'bumalik', '.', 'ako', 'vlog', 'para', 'mag', 'thumbral', 'maker', 'not']"
4,  ,0,[]
2,  ,0,[]
3,  ,0,[]
0,  ,0,[]
0,"16TH BIRTHDAY VLOG "" ",2,"['16th', 'birthday', 'vlog', '``']"
4,ANG MGA KARUMALDUMAL NA MISTERYO SA BEKS BATTALION HOUSE ,3,"['ang', 'mga', 'karumaldum', 'na', 'misteryo', 'sa', 'bek', 'battalion', 'hous']"
4,I een if Loca enamorada ,3,"['i', 'een', 'if', 'loca', 'enamorada']"
0,  ,0,[]
2,WEEKLY VLOG ,2,"['weekli', 'vlog']"
1,G. es Salam er ,2,"['g.', 'es', 'salam', 'er']"
2,REC HOEO ,1,"['rec', 'hoeo']"
0,  ,0,[]
2,Fourth day with friends ,2,"['fourth', 'day', 'with', 'friend']"
2,Madhavas of Diwali ,3,"['madhava', 'of', 'diwali']"
2,SAN ,4,['san']
4,DE VIDAS ,2,"['de', 'vida']"
2,VLOG ,3,['vlog']
2,was Temple Vlog #2 ,2,"['wa', 'templ', 'vlog', '#', '2']"
5,DE VIDASL ,2,"['de', 'vidasl']"
2,  ,0,[]
4,Bim Bim Wow! NR ,2,"['bim', 'bim', 'wow', '!', 'nr']"
4,SONAMBULA... ,2,"['sonambula', '...']"
0,  ,0,[]
2,F ,2,['f']
1,  ,0,[]
0,Lucban ,2,['lucban']
0,MY Daily VLOG ,2,"['my', 'daili', 'vlog']"
1,  ,0,[]
3,tower # bathroom day 4 toilel I storage # strage MUJI etc. NITOR # kitchen ,2,"['tower', '#', 'bathroom', 'day', '4', 'toilel', 'i', 'storag', '#', 'strage', 'muji', 'etc', '.', 'nitor', '#', 'kitchen']"
4,  ,0,[]
5,. Fan polinesios Quien es la mama? ,2,"['.', 'fan', 'polinesio', 'quien', 'es', 'la', 'mama', '?']"
1,Usako storm ,2,"['usako', 'storm']"
5,EQUIENES SON LOS PADRES? ? ,3,"['equien', 'son', 'lo', 'padr', '?', '?']"
2,Persian cat $ $ $ 1000 ,2,"['persian', 'cat', '$', '$', '$', '1000']"
