title,video_id,channel_name,channel_id,thumbnail,publish_time,view
VLOG: ¬®¬½ ¬´¬¡¬¬ ¬±¬°¬¥¬µ¬®¬¡¬­¬ª! 25.05.21,kaibm6LSmb4,Katy LifeVlog,UCpm6vCgiehSKHtMFFS5ukiA,https://i.ytimg.com/vi/kaibm6LSmb4/mqdefault.jpg,2021-05-26T02:30:05Z,101580
RC Car with Train Horns on Golf Course,zYgAf2eu8sQ,Vlog Creations,UCR0VLWitB2xM4q7tjkoJUPw,https://i.ytimg.com/vi/zYgAf2eu8sQ/mqdefault.jpg,2021-05-24T16:00:21Z,1147867
Brought my FATHER&#39;s PILLOW to sleep | Ss Vlogs :-),OtACAGFKpn8,Sambhavna Seth Entertainment,UChZ0JmGgyOWSU-1iXxPhsVA,https://i.ytimg.com/vi/OtACAGFKpn8/mqdefault.jpg,2021-05-26T06:25:15Z,429219
6AM PRODUCTIVE online school morning routine/vlog *high school*,2_q4T1abM8Q,Kristy Bae,UCiLSb-cS_0pkjIYsm9oOB0w,https://i.ytimg.com/vi/2_q4T1abM8Q/mqdefault.jpg,2021-04-29T14:00:02Z,607709
My Funniest Vlog Ever ?? Ayachi Thakur Vlogs,tHD5ajeSxKQ,Ayachi Thakur Vlogs,UC8RXP2epKG3uiPO5QYQyGqg,https://i.ytimg.com/vi/tHD5ajeSxKQ/mqdefault.jpg,2021-05-26T01:30:07Z,46413
Bahar jana hy tab lelo bhalyy?? wah |  Maazsafder | vlog 93,C-lSNVDk5wI,Maaz Safder World,UCz0M2pV4jOUUQ88lOd2q08A,https://i.ytimg.com/vi/C-lSNVDk5wI/mqdefault.jpg,2021-05-26T00:50:33Z,152156
"VLOG ¡Ú new hair, palm springs trip + meet my new roommate!",m6-SttST0oY,Anastasia Karanikolaou,UCMHKlaUOwMvgZ339zcjEI2A,https://i.ytimg.com/vi/m6-SttST0oY/mqdefault.jpg,2021-05-02T18:04:50Z,611204
"?? VLOG ?? | NA?E B??N? DNY, HOTOVA? KOUPELNA, NA?KUPY A MI?RA ME? VYTA?C?I?",wV2V8Gxa4QQ,petralovelyhair,UCHREC4tSuCcapNv3gELUAHQ,https://i.ytimg.com/vi/wV2V8Gxa4QQ/mqdefault.jpg,2021-05-25T17:49:49Z,17245
"DAY IN MY LIFE LIVING IN LA VLOG | shopping, paparazzi, coffee shops",ErnyCWGoRd4,Mai Pham,UC3K_V0FgEq_6SuA6X54z3GQ,https://i.ytimg.com/vi/ErnyCWGoRd4/mqdefault.jpg,2021-05-14T14:05:43Z,326995
ATLANTA WEEKEND VLOG W/FRIENDS,uAasCJJenzk,Noah Beck,UClPsjnF7D_Ar1ZSrEsnTxJA,https://i.ytimg.com/vi/uAasCJJenzk/mqdefault.jpg,2021-04-25T19:14:14Z,1322722
